,0,1
0,30.03,31.21
1,12.65,-8.000000000000007
2,13.749999999999998,100.47999999999999
3,17.25,-88.76000000000002
4,33.66,73.15999999999998
5,36.7,3.210000000000001
6,-1.2600000000000016,36.8
7,23.76,121.00000000000001
8,-15.75,-47.94999999999999
9,-35.3,149.12
10,41.33,19.8
11,35.68,51.41
12,14.910000000000002,-23.51000000000002
13,39.91,116.38
14,-6.170000000000002,106.82000000000001
15,35.7,139.70999999999998
16,52.5,-0.11999999999999744
17,39.90999999999999,32.83
18,54.68,25.31
19,41.26,69.21
20,9.029999999999998,38.74
21,17.98,-76.8
22,34.03,-6.850000000000001
23,41.9,12.479999999999993
24,19.75,96.1
25,28.61,77.20000000000002
26,41.71,44.78
27,44.41,26.1
28,38.0,23.709999999999997
29,14.660000000000002,-17.409999999999997
30,42.86,74.6
31,-6.170000000000002,35.74
32,11.550000000000002,104.90999999999998
